parameter_id,parameter_name,material_or_system,value,status,unit,source_title,source_url_or_doi,evidence_type,notes
P021,li2tio3_keff_polynomial_04MPa,Li2TiO3-He pebble bed,"k=1.7198e-7*T_C^2 + 2.6131e-4*T_C + 1.0603",extracted,W/m/K,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.4 MPa."
P022,li2tio3_alpha_polynomial_0105MPa,Li2TiO3-He pebble bed,"alpha=-1.314e-9*T_C^3 + 2.133e-6*T_C^2 - 0.001151*T_C + 0.6458",extracted,mm2/s,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.105 MPa."
P023,li2tio3_alpha_polynomial_02MPa,Li2TiO3-He pebble bed,"alpha=-1.014e-9*T_C^3 + 1.811e-6*T_C^2 - 0.001063*T_C + 0.6628",extracted,mm2/s,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.2 MPa."
P024,li2tio3_alpha_polynomial_03MPa,Li2TiO3-He pebble bed,"alpha=-9.441e-10*T_C^3 + 1.757e-6*T_C^2 - 0.001061*T_C + 0.6766",extracted,mm2/s,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.3 MPa."
P025,li2tio3_alpha_polynomial_04MPa,Li2TiO3-He pebble bed,"alpha=-7.862e-10*T_C^3 + 1.580e-6*T_C^2 - 0.001009*T_C + 0.6844",extracted,mm2/s,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental_fit,"T_C in degC; valid 45 to 800 degC; P=0.4 MPa."
P026,li2tio3_hotwire_k_uncertainty,Li2TiO3-He pebble bed,2,extracted,percent,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Conclusion reports less than 2% uncertainty for k."
P027,li2tio3_hotwire_alpha_uncertainty,Li2TiO3-He pebble bed,8,extracted,percent,Simultaneous measurement of effective thermal conductivity and effective thermal diffusivity of Li2TiO3 pebble bed using transient hot-wire technique,https://doi.org/10.1016/j.fusengdes.2021.112564,experimental,"Conclusion reports less than 8% uncertainty for alpha."
P028,thin_bed_pebble_diameter,Li4SiO4 thin pebble bed,1,extracted,mm,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"DEM thin bed uses 1 mm Li4SiO4 particles."
P029,thin_bed_thickness_range,Li4SiO4 thin pebble bed,"10 to 40",extracted,mm,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Y-direction thickness varies from 10 to 40 mm; X and Z lengths are 10 mm."
P030,thin_bed_gas_pressure,Li4SiO4 thin pebble bed,1,extracted,bar,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Study selects 1 bar purge gas pressure."
P031,thin_bed_design_temperature_window,tritium breeder pebble bed,"450 to 900",extracted,degC,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,design_reference,"Authors cite helium-cooled solid breeder blanket design criteria."
P032,li4sio4_average_keff_H10,Li4SiO4 thin pebble bed,"0.808,0.868,0.922,0.969,1.013,1.054",extracted,W/m/K,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Average keff at T=100,200,300,400,500,600 degC for H=10 mm."
P033,li4sio4_average_keff_H20,Li4SiO4 thin pebble bed,"0.860,0.924,0.980,1.031,1.076,1.118",extracted,W/m/K,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Average keff at T=100,200,300,400,500,600 degC for H=20 mm."
P034,li4sio4_average_keff_H30,Li4SiO4 thin pebble bed,"0.876,0.943,0.998,1.05,1.1,1.14",extracted,W/m/K,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Average keff at T=100,200,300,400,500,600 degC for H=30 mm."
P035,li4sio4_average_keff_H40,Li4SiO4 thin pebble bed,"0.888,0.954,1.012,1.065,1.112,1.156",extracted,W/m/K,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Average keff at T=100,200,300,400,500,600 degC for H=40 mm."
P036,packing_fraction_static_friction_01,Li4SiO4 thin pebble bed,0.624,extracted,dimensionless,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Packing fraction when static friction coefficient is 0.1."
P037,packing_fraction_static_friction_06,Li4SiO4 thin pebble bed,0.605,extracted,dimensionless,Effect of packing structure on anisotropic effective thermal conductivity of thin ceramic pebble bed,https://doi.org/10.1016/j.net.2021.01.013,numerical_DEM,"Packing fraction when static friction coefficient is 0.6."
P038,macroscopic_transport_parameters,HCCB TBM packed bed,,not_applicable,various,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,umbrella_record,"Umbrella placeholder retained for provenance; concrete extracted HCCB macroscopic-transport parameters are listed in P084-P091."
P039,binary_bed_effective_thermal_conductivity_model,CFETR-WCCB binary pebble bed,,to_extract,W/m/K,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Use for binary-bed model equations and parameter ranges; exact model variables still need extraction."
P040,porous_media_pinn_heat_transfer_baseline,generic porous media,,to_extract,various,Physics-informed neural networks for studying heat transfer in porous media,https://www.sciencedirect.com/science/article/abs/pii/S0017931023008165,method_benchmark,"Method benchmark only; not a fusion-material parameter source."
P041,wccb_binary_keff_range,Li2TiO3/Be12Ti mixed pebble bed,"2.0 to 4.0",extracted,W/m/K,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"M-SZB model result for WCCB mixed pebble bed over 400-900 degC; use as model-derived range not direct experiment."
P042,wccb_binary_temperature_range,Li2TiO3/Be12Ti mixed pebble bed,"400 to 900",extracted,degC,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Temperature range for WCCB mixed bed keff estimate."
P043,wccb_binary_pressure_range,Li2TiO3/Be12Ti mixed pebble bed,"0.1 to 1.6",extracted,MPa,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Reported effective range for M-SZB validation conditions."
P044,wccb_large_particle_diameter_range,Be12Ti large particles,"1 to 2",extracted,mm,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Large Be12Ti particle diameter used in WCCB calculations."
P045,wccb_large_to_tiny_diameter_ratio,Li2TiO3/Be12Ti mixed pebble bed,7,extracted,dimensionless,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Study notes packing factor can reach about 0.78 when diameter ratio reaches 7; tiny Li2TiO3 diameter assumed dl/7 in WCCB calculation."
P046,wccb_packing_factor,Li2TiO3/Be12Ti mixed pebble bed,0.80,extracted,dimensionless,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Packing factor set to 0.80 considering irradiation swelling and external mechanical stress."
P047,wccb_Be12Ti_to_Li2TiO3_volume_ratio,Li2TiO3/Be12Ti mixed pebble bed,4,extracted,dimensionless,Theoretical modeling of the effective thermal conductivity of the binary pebble beds for the CFETR-WCCB blanket,https://doi.org/10.1016/j.fusengdes.2015.10.023,model,"Neutronics analysis reports optimal Be12Ti to Li2TiO3 volume ratio approximately around 4."
P048,hccb_model_particle_diameter,Chinese HCCB TBM Li4SiO4 packed bed,1,extracted,mm,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Li4SiO4 pebble diameter dp=1 mm in pore-scale model."
P049,hccb_model_porosity,Chinese HCCB TBM Li4SiO4 packed bed,0.397,extracted,dimensionless,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Pore-scale model porosity epsilon=39.7%."
P050,hccb_initial_model_dimensions,Chinese HCCB TBM Li4SiO4 packed bed,"25dp x 25dp x 10dp",extracted,dimensionless,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,pore_scale_model,"Section 2.1 states that a 25dp x 25dp x 10dp packed bed was initially constructed before extracting the P390 calculation region; verified against the full text at logs/pdf_text/hccb_tbm_macroscopic_transport_2024.clean.txt lines 420-449."
P051,hccb_inlet_temperature_range,Chinese HCCB TBM Li4SiO4 packed bed,"300,500,700,900",extracted,K,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Table 1 inlet temperatures."
P052,hccb_inlet_velocity_range,Chinese HCCB TBM Li4SiO4 packed bed,"0.05,0.10,0.15,0.20,0.25",extracted,m/s,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Inlet velocities used for inversion conditions."
P053,hccb_internal_heat_source,Chinese HCCB TBM Li4SiO4 packed bed,6.85,extracted,MW/m3,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Uniform internal heat source intensity from Table 1."
P054,hccb_working_pressure,Chinese HCCB TBM Li4SiO4 packed bed,0.12,extracted,MPa,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Working pressure p0 from Table 1."
P055,hccb_cooling_wall_temperature,Chinese HCCB TBM Li4SiO4 packed bed,635,extracted,K,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,pore_scale_model,"Cooling wall temperature set constant from packed bed to outlet channel."
P056,hccb_convective_keff_increase,Chinese HCCB TBM Li4SiO4 packed bed,18,extracted,percent,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,inversion_result,"Helium convection can increase effective thermal conductivity by 18% at tested conditions."
P057,hccb_effective_diffusivity_increase,Chinese HCCB TBM Li4SiO4 packed bed,46,extracted,percent,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,inversion_result,"Helium convection/dispersion can increase effective diffusivity by 46% at tested conditions."
P058,hccb_modified_model_temperature_deviation,Chinese HCCB TBM Li4SiO4 packed bed,0.6,extracted,percent,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,validation_metric,"Modified correlation model relative prediction deviation for temperature distribution within 0.6%."
P059,pressure_drop_loop_pressure_range,purge gas pressure-drop experiment,"0.1 to 2",extracted,MPa,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Helium loop operating pressure range."
P060,pressure_drop_loop_temperature_range,purge gas pressure-drop experiment,"20 to 500",extracted,degC,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Helium loop operating temperature range."
P061,pressure_drop_loop_max_flow_rate,purge gas pressure-drop experiment,80,extracted,Nm3/h,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Helium loop maximum flow rate."
P062,pressure_drop_test_section_inner_diameter,purge gas pressure-drop experiment,63,extracted,mm,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Cylindrical stainless steel tube inner diameter."
P063,pressure_drop_test_section_height,purge gas pressure-drop experiment,700,extracted,mm,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Cylindrical stainless steel tube height."
P064,pressure_drop_port_spacing,purge gas pressure-drop experiment,300,extracted,mm,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Three pressure ports configured with equidistant space."
P065,pressure_drop_li2tio3_T0_diameter,Li2TiO3 purge-flow pressure drop case T0,"0.99 ± 0.1",extracted,mm,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Li2TiO3 Case T0 particle diameter."
P066,pressure_drop_li2tio3_T1_diameter,Li2TiO3 purge-flow pressure drop case T1,"1.2 ± 0.2",extracted,mm,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Li2TiO3 Case T1 particle diameter."
P067,pressure_drop_binary_diameter_ratios,binary purge-flow pressure drop cases,"3,5,10",extracted,dimensionless,Measurement of pressure drop of purge gas flow in unitary and binary pebble beds,https://www.sciencedirect.com/science/article/abs/pii/S0920379624002002,experimental,"Binary pebble beds studied with diameter ratios 10, 5 and 3; WCCB blanket noted as diameter ratio 5."
P068,helium_molar_mass,He purge gas,4.002602,extracted,g/mol,Helium - NIST Chemistry WebBook,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/He,standard_property,"NIST Chemistry WebBook lists molecular weight 4.002602 for helium."
P069,helium_ideal_gas_cp_molar,He purge gas,20.786,extracted,J/mol/K,NIST-JANAF Thermochemical Tables: Helium,https://janaf.nist.gov/pdf/JANAF-FourthEd-1998-Helium.pdf,standard_property,"Ideal-gas helium molar heat capacity from NIST-JANAF table; used for rho_cp = p Cp_molar /(R T)."
P070,helium_dynamic_viscosity,He purge gas in Chinese HCCB TBM packed bed,"mu=0.4646*T_K^0.66*1e-6",extracted,Pa s,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,property_correlation,"Table 2 helium viscosity correlation; T_K in K."
P071,helium_thermal_conductivity,He purge gas in Chinese HCCB TBM packed bed,"lambda_f=0.1448*(T_K/273)^0.68*(1+2.5e-3*p_MPa^1.17*(T_K/273)^-1.85)",extracted,W/m/K,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://www.sciencedirect.com/science/article/abs/pii/S1359431124007828,property_correlation,"Table 2 helium thermal-conductivity correlation; T_K in K and p_MPa in MPa as reported in the HCCB packed-bed paper."
P072,effective_volumetric_heat_capacity,Li4SiO4-He pebble bed,"rhoCp_eff=(0.97198+5.04496e-4*T_C+3.30432e-7*T_C^2)/((0.54761-4.08679e-4*T_C+1.95265e-7*T_C^2)*1e-6)",extracted,J/m3/K,Experimental Investigation of Thermal Properties of the Li4SiO4 Pebble Beds,https://www.jspf.or.jp/JPFRS/PDF/Vol11/jpfrs2015_11-049.pdf,derived_from_literature_fits,"Derived as k_eff/alpha_eff from the same TPS Li4SiO4 pebble-bed experiment; T_C in degC; valid for non-compressed single-size 1 mm Li4SiO4 bed, packing fraction about 63%, stagnant helium at atmospheric pressure, room temperature to 600 degC. This is not a full HCCB-module heat capacity."
P073,universal_gas_constant_for_helium_eos,He purge gas,8.314472,extracted,J/mol/K,An Equation of State for the Thermodynamic Properties of Helium,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=956186,standard_property,"NIST helium EOS table lists R=8.314472 J mol-1 K-1; used with ideal-gas density in the reduced convection reference."
P074,li4sio4_tps_keff_polynomial,Li4SiO4-He pebble bed,"k=0.97198+5.04496e-4*T_C+3.30432e-7*T_C^2",extracted,W/m/K,Experimental Investigation of Thermal Properties of the Li4SiO4 Pebble Beds,https://www.jspf.or.jp/JPFRS/PDF/Vol11/jpfrs2015_11-049.pdf,experimental_fit,"Transient plane source experiment; T_C in degC; non-compressed 1 mm Li4SiO4 bed, packing fraction about 63%, stagnant helium at atmospheric pressure, room temperature to 600 degC."
P075,li4sio4_tps_alpha_polynomial,Li4SiO4-He pebble bed,"alpha=0.54761-4.08679e-4*T_C+1.95265e-7*T_C^2",extracted,mm2/s,Experimental Investigation of Thermal Properties of the Li4SiO4 Pebble Beds,https://www.jspf.or.jp/JPFRS/PDF/Vol11/jpfrs2015_11-049.pdf,experimental_fit,"Transient plane source experiment; T_C in degC; non-compressed 1 mm Li4SiO4 bed, packing fraction about 63%, stagnant helium at atmospheric pressure, room temperature to 600 degC."
P076,near_wall_region_definition,graphite pebble bed NWTCTF,"wall regions: 0<y<=0.06 m and 0.36<=y<0.42 m; near-wall region: 0.06<y<0.36 m",extracted,m,Experimental study of the effective thermal conductivity in the near-wall region of a packed pebble bed,local_pdf:logs/pdf_text/structure_closure/Experimental-study-of-the-effective-thermal-conductivit_2018_Nuclear-Enginee.txt,experimental_method,"Graphite packed-bed near-wall experiment; wall regions are one sphere diameter from heated/cooled walls. Use as geometry/diagnostic context only, not as Li4SiO4 material input."
P077,graphite_pebble_emissivity,graphite pebble bed NWTCTF,"0.81 +/- 10%",extracted,dimensionless,Experimental study of the effective thermal conductivity in the near-wall region of a packed pebble bed,local_pdf:logs/pdf_text/structure_closure/Experimental-study-of-the-effective-thermal-conductivit_2018_Nuclear-Enginee.txt,experimental_property,"Average emissivity used for HTTU/NWTCTF graphite calculations; radiation-context only for the present Li4SiO4 heat-transfer roadmap."
P078,dem_wall_region_average_porosity,DEM graphite pebble bed,"X inner/near/outer=0.621/0.502/0.666; Y inner/near/outer=0.626/0.499/0.683; Z inner/near/outer=0.518/0.484/0.985",extracted,dimensionless,A methodology to investigate the contribution of conduction and radiation heat transfer to the effective thermal conductivity of packed graphite pebble beds including the wall effect,local_pdf:logs/pdf_text/structure_closure/A-methodology-to-investigate-the-contribution-of-conduction-a_2017_Nuclear-E.txt,DEM_CFD_context,"Table 2 DEM-generated graphite pebble-bed porosity by wall/near-wall region. Use only as wall-effect context until Li4SiO4/HCCB packing fields are generated or extracted."
P079,contact_fillet_geometry,DEM/CFD graphite pebble bed,"fillet length=0.24 mm; fillet cross-section radius rf=2.59 mm",extracted,mm,A methodology to investigate the contribution of conduction and radiation heat transfer to the effective thermal conductivity of packed graphite pebble beds including the wall effect,local_pdf:logs/pdf_text/structure_closure/A-methodology-to-investigate-the-contribution-of-conduction-a_2017_Nuclear-E.txt,DEM_CFD_context,"Contact-point treatment used for CFD meshing based on Van der Merwe et al.; not a universal contact area for ceramic breeder pebbles."
P080,solid_solid_contact_resistance_estimate,DEM/CFD graphite pebble bed,"Rss=0.64/(ks*rf); total resistance ratio=1+1.00531*rf/rp; omission underestimates conduction resistance by about 8%",extracted,model_expression,A methodology to investigate the contribution of conduction and radiation heat transfer to the effective thermal conductivity of packed graphite pebble beds including the wall effect,local_pdf:logs/pdf_text/structure_closure/A-methodology-to-investigate-the-contribution-of-conduction-a_2017_Nuclear-E.txt,model_estimate,"Order-of-magnitude Chen-Tien style contact-resistance estimate for graphite CFD fillet region; requires material/contact calibration before physical use in Li4SiO4."
P081,zbs_contact_area_fraction_formula,graphite pebble-bed ZBS model,"phi=0.15*Nc^1.1*gamma",extracted,dimensionless,An explicit expression of empirical parameter in ZBS model for predicting pebble bed effective thermal conductivity,local_pdf:logs/pdf_text/structure_closure/An-explicit-expression-of-empirical-parameter-in-ZBS-mod_2021_Nuclear-Engine.txt,semi_empirical_model,"Contact area fraction formula from ordered-bed regression; R-square=0.998 in source. Use as model-candidate context only."
