model,setting,value,setting_type,primary_source,source_path,implementation_path,is_physical_parameter,explanation_cn
图-Transformer,epochs,500,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,正式训练轮数
图-Transformer,learning_rate,0.001,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,AdamW学习率
图-Transformer,weight_decay,0.00001,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,AdamW权重衰减
图-Transformer,temperature_data_weight,5.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,温度数据项权重
图-Transformer,edge_flux_weight,1.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,面热流差权重
图-Transformer,energy_balance_weight,1.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,预测区域能量算子与同一区域化OpenFOAM参考算子之差的权重
图-Transformer,selected_epoch,validation minimum,data_derived,由检查曲线颗粒温度体积加权RMSE选择,code/train_hccb_p418_spatiotemporal_regional_operator.py,code/train_hccb_p418_spatiotemporal_regional_operator.py,no,测试曲线只用于最终误差
图-Transformer,fluid_temperature_output_range_K,300--1000,source_backed_output_parameterization,P424氦冷固态增殖包层温度范围,parameters/hccb_p418_physical_parameter_sources.csv,code/hccb_p418_spatiotemporal_regional_operator.py;code/train_hccb_p418_spatiotemporal_regional_operator.py,no,三种正式图模型共用的连续logit温度输出范围；不是结果后处理裁剪
图-Transformer,solid_temperature_output_range_K,298--1300,source_backed_output_parameterization,P428和P429焓与热容关系的有效范围,parameters/hccb_p418_physical_parameter_sources.csv,code/hccb_p418_spatiotemporal_regional_operator.py;code/train_hccb_p418_spatiotemporal_regional_operator.py,no,三种正式图模型共用的连续logit温度输出范围；初始温度严格保持
DMDc,state_equation,dz/dt=A z+B u,project_adaptation,Proctor Brunton and Kutz 2016 DMDc with continuous-time fit for nonuniform outputs,parameters/hccb_p418_ai_architecture_sources.json,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,no,用相邻时刻的中点状态和实际时间间隔拟合连续时间受控线性系统
DMDc,time_integration,matrix exponential over each recorded interval,project_adaptation,Exact propagation of the fitted linear state-control system,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,no,直接使用56个原始非均匀输出时刻而不插值成等时间间隔
DMDc,spatial_weighting,sqrt(volume/mean(volume)),finite_volume_definition,区域体积来自OpenFOAM有限体积网格,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,no,避免大小不同的区域节点被等权处理
DMDc,candidate_pod_ranks,1;2;3;4;8;12;16;24;32,predeclared_numerical_scan,DMDc方法加预先登记的容量比较,parameters/apd006_tdem_numerical_design_provenance.csv,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,no,正式三组数据划分均按该列表扫描并由验证集选中8阶；这些数字不是材料参数
DMDc,selected_rank,validation minimum,data_derived,由检查曲线颗粒温度体积加权RMSE选择,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,reproducibility/formal_training_sources/train_hccb_p418_regional_dmdc_20260729.py,no,训练曲线建立基底和AB矩阵
POD低秩修正,candidate_ranks,0 through training-supported rank,data_derived,由训练误差矩阵的非零奇异值决定,code/train_hccb_p418_low_rank_temperature_residual.py,code/train_hccb_p418_low_rank_temperature_residual.py,no,不预先写死POD阶数
POD低秩修正,selected_rank,validation minimum,data_derived,由检查曲线颗粒温度体积加权RMSE选择,code/train_hccb_p418_low_rank_temperature_residual.py,code/train_hccb_p418_low_rank_temperature_residual.py,no,相同误差时选择更小阶数
扩散剩余误差修正,hidden_width,256,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/hccb_p418_temporal_temperature_diffusion.py,no,空间物理注意力隐藏宽度
扩散剩余误差修正,spatial_layers,5,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/hccb_p418_temporal_temperature_diffusion.py,no,空间物理注意力层数
扩散剩余误差修正,spatial_attention_heads,8,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/hccb_p418_temporal_temperature_diffusion.py,no,空间注意力头数
扩散剩余误差修正,physics_slices,32,published_architecture,Transolver official irregular-mesh model,third_party/Transolver/PDE-Solving-StandardBenchmark/model/Transolver_Irregular_Mesh.py,code/hccb_p418_temporal_temperature_diffusion.py,no,空间物理切片数
扩散剩余误差修正,temporal_layers,3,official_code_architecture,GNOT official n-layers default,third_party/GNOT/args.py,code/hccb_p418_temporal_temperature_diffusion.py,no,时间层数
扩散剩余误差修正,temporal_heads,1,official_code_architecture,GNOT official n-head default,third_party/GNOT/args.py,code/hccb_p418_temporal_temperature_diffusion.py,no,时间注意力头数
扩散剩余误差修正,num_refinement_steps,3,published_algorithm,PDE-Refiner official implementation,third_party/pdearena/pdearena/models/pderefiner.py,code/hccb_p418_temporal_temperature_diffusion.py,no,反向修正步数
扩散剩余误差修正,minimum_noise_standard_deviation,0.0000004,published_algorithm,PDE-Refiner official implementation,third_party/pdearena/pdearena/models/pderefiner.py,code/hccb_p418_temporal_temperature_diffusion.py,no,最小噪声标准差
扩散剩余误差修正,prediction_type,v_prediction,published_algorithm,PDE-Refiner official implementation,third_party/pdearena/pdearena/models/pderefiner.py,code/hccb_p418_temporal_temperature_diffusion.py,no,预测扩散速度量
扩散剩余误差修正,ema_decay,0.995,published_algorithm,PDE-Refiner official implementation,third_party/pdearena/pdearena/models/pderefiner.py,code/train_hccb_p418_temporal_temperature_diffusion.py,no,指数平均衰减
扩散剩余误差修正,epochs,500,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_temporal_temperature_diffusion.py,no,正式训练轮数
扩散剩余误差修正,effective_batch_size,8,official_code_training,Transolver official elasticity training script,third_party/Transolver/PDE-Solving-StandardBenchmark/exp_elas.py,code/train_hccb_p418_temporal_temperature_diffusion.py,no,每次参数更新累计八条完整曲线
扩散剩余误差修正,microbatch_size,1,measured_compute_setting,真实46089节点56时刻GPU显存试验,results/hccb_p418_actual_temporal_diffusion_56time_gpu_batch1_bfloat16_chunk2048/summary.json,code/train_hccb_p418_temporal_temperature_diffusion.py,no,逐条完整曲线累积梯度且不改变有效批量
扩散剩余误差修正,activation_precision,bfloat16,measured_compute_setting,真实46089节点56时刻GPU显存试验,results/hccb_p418_actual_temporal_diffusion_56time_gpu_batch1_bfloat16_chunk2048/summary.json,code/train_hccb_p418_temporal_temperature_diffusion.py,no,模型权重和优化器仍保持float32
扩散剩余误差修正,temporal_node_chunk_size,2048,measured_compute_setting,4096节点块在56时刻反向传播显存不足；2048节点块峰值18.75 GB并通过,results/hccb_p418_actual_temporal_diffusion_56time_gpu_batch1_bfloat16_chunk2048/summary.json,code/train_hccb_p418_temporal_temperature_diffusion.py,no,只改变一次送入时间Transformer的节点数；完整56时刻和全部节点均保留
扩散剩余误差修正,ensemble_samples,32,predeclared_numerical_scan,固定种子8-16-32样本收敛比较,parameters/apd006_tdem_numerical_design_provenance.csv,code/train_hccb_p418_temporal_temperature_diffusion.py,no,用于检查随机采样均值是否稳定而不是物理后验样本数
扩散剩余误差修正,selected_epoch,validation minimum,data_derived,由固定检查曲线加噪方式的体积加权速度损失选择,code/train_hccb_p418_temporal_temperature_diffusion.py,code/train_hccb_p418_temporal_temperature_diffusion.py,no,测试曲线不参与轮次选择
稳态多输出模型,state_data_weight,5.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_conservative_mixed_operator.py,no,状态场数据项分组权重；数值训练设置，不是球床物性
稳态多输出模型,face_flux_weight,1.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_conservative_mixed_operator.py,no,质量流和能量流数据项分组权重；两种坐标网络完全相同
稳态多输出模型,physics_balance_weight,1.0,official_code_training,PINO official operator configuration,third_party/physics_informed/configs/operator/Re500-05s-1000-PINO.yaml,code/train_hccb_p418_conservative_mixed_operator.py,no,局部质量和能量收支项分组权重；仅物理约束分支启用
稳态Transolver,microbatch_size,1,measured_compute_setting,真实46089节点稳态训练GPU显存试验,results/hccb_p418_post_power_gpu_memory/transolver_batch6_cuda_oom.log,code/train_hccb_p418_conservative_mixed_operator.py,no,保持文献等效批量8并逐工况累积梯度以适配20GB显存
稳态图网络,microbatch_size,1,measured_compute_setting,真实46089节点稳态训练GPU显存试验,results/hccb_p418_post_power_gpu_graph_microbatch1/summary.json,code/train_hccb_p418_conservative_mixed_operator.py,no,保持RIGNO来源等效批量2并逐工况累积梯度，峰值显存由19.76GB降到10.02GB
共同能量算子,enthalpy_reference_temperature_K,298.15,official_OpenFOAM13_software_constant,OpenFOAM 13 standard dimensioned constants,literature/raw/openfoam13_v13/etc_controlDict,code/hccb_source_backed_thermophysical.py,no,OpenFOAM焓和内能的参考零点；只改变能量基准不改变温差或热流，不是球床材料物性
全耦合损失权重,fixed_state_weight,1.0,predeclared_baseline,三组无量纲误差的固定等权基准,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py;code/train_hccb_p418_fully_coupled_spatiotemporal_operator.py,no,状态数据组固定权重；不是球床物理参数
全耦合损失权重,fixed_face_flux_weight,1.0,predeclared_baseline,三组无量纲误差的固定等权基准,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py;code/train_hccb_p418_fully_coupled_spatiotemporal_operator.py,no,面质量流数据组固定权重；不是球床物理参数
全耦合损失权重,fixed_physics_weight,1.0,predeclared_baseline,三组无量纲误差的固定等权基准,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py;code/train_hccb_p418_fully_coupled_spatiotemporal_operator.py,no,物理方程组固定权重；不是球床物理参数
全耦合损失权重,burgers_temperature,0.1,published_algorithm,Bischof和Kraus表VIII的Burgers设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选温度系数；不是球床温度
全耦合损失权重,burgers_alpha,0.999,published_algorithm,Bischof和Kraus表VIII的Burgers设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选平滑系数
全耦合损失权重,burgers_expected_rho,0.9999,published_algorithm,Bischof和Kraus表VIII的Burgers设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选随机回看概率
全耦合损失权重,kirchhoff_temperature,0.01,published_algorithm,Bischof和Kraus表VIII的Kirchhoff设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选温度系数；不是球床温度
全耦合损失权重,kirchhoff_alpha,0.999,published_algorithm,Bischof和Kraus表VIII的Kirchhoff设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选平滑系数
全耦合损失权重,kirchhoff_expected_rho,0.9999,published_algorithm,Bischof和Kraus表VIII的Kirchhoff设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选随机回看概率
全耦合损失权重,helmholtz_temperature,1e-5,published_algorithm,Bischof和Kraus表VIII的Helmholtz设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选温度系数；不是球床温度
全耦合损失权重,helmholtz_alpha,0.99,published_algorithm,Bischof和Kraus表VIII的Helmholtz设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选平滑系数
全耦合损失权重,helmholtz_expected_rho,0.99,published_algorithm,Bischof和Kraus表VIII的Helmholtz设置,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,ReLoBRaLo候选随机回看概率
全耦合损失权重,relobralo_epsilon,1e-12,official_code_constant,Bischof和Kraus作者公开update_rules.py,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py,no,防止相对误差分母为零的作者程序固定值
全耦合损失权重,selection_score,equal mean of three dimensionless validation groups,predeclared_selection_rule,本项目两阶段方法比较方案,parameters/hccb_p418_loss_balancing_sources.json,code/hccb_p418_loss_balancing.py;code/select_hccb_p418_loss_balancing_method.py,no,所有候选共用的检查分数；不采用候选自己的动态权重
全耦合损失权重,independent_test_rule,after validation-only method selection,predeclared_selection_rule,本项目两阶段方法比较方案,parameters/hccb_p418_loss_balancing_sources.json,code/run_hccb_p418_loss_balancing_protocol.py;code/select_hccb_p418_loss_balancing_method.py,no,四种方法确定唯一方案后才读取独立测试曲线
图-Transformer,structural_feature_order,"x,y,z,log_volume,fluid,solid,inlet,outlet,cooling_wall,symmetry,fluid_solid_interface",problem_geometry,P425/P427边界定义和当前有限体积区域网格,parameters/hccb_dense_cht_boundary_roles.json,code/build_hccb_p418_model_geometry.py;code/export_hccb_p418_step_regional_sequences.py;code/hccb_p418_spatiotemporal_regional_operator.py,no,五类边界量是区域内边界相邻细网格的体积占比；用于区分内部、近壁和流固界面区域
全耦合图-Transformer,structural_feature_order,"x,y,z,log_volume,fluid,solid,inlet,outlet,cooling_wall,symmetry,fluid_solid_interface",problem_geometry,P425/P427边界定义和当前有限体积区域网格,parameters/hccb_dense_cht_boundary_roles.json,code/build_hccb_p418_model_geometry.py;code/export_hccb_p418_step_regional_sequences.py;code/hccb_p418_fully_coupled_spatiotemporal_operator.py,no,与固定流场瞬态模型使用同一组网格和边界结构信息
全耦合图-Transformer,initial_internal_face_flux_message,"owner:+m_dot;neighbour:-m_dot",published_component_adaptation,MeshGraphNet/RIGNO边到节点信息传递与当前有限体积owner-neighbour方向,parameters/hccb_p418_ai_architecture_sources.json,code/hccb_p418_fully_coupled_spatiotemporal_operator.py,no,内部面正向质量流传给owner且反向量传给neighbour；不是新增物理参数
全耦合图-Transformer,initial_active_boundary_face_flux_message,"inlet/outlet to owner; other boundary faces excluded",published_component_adaptation,MeshGraphNet/RIGNO边到节点信息传递与P425/P427边界类型,parameters/hccb_p418_ai_architecture_sources.json,code/hccb_p418_fully_coupled_spatiotemporal_operator.py,no,只有入口和出口质量流传给相邻流体区域；壁面和流固界面不传质量流
全耦合图-Transformer,initial_face_flux_aggregation,mean over incident active faces,published_component_adaptation,MeshGraphNet/RIGNO邻接信息聚合思想,parameters/hccb_p418_ai_architecture_sources.json,code/hccb_p418_fully_coupled_spatiotemporal_operator.py,no,按相邻有效面数量平均避免区域连接面数直接放大输入；不是球床物理参数
