parameter_id,物理量,采用值或关系式,单位,在本研究中的用途,文献,链接或DOI,原文位置说明
P388,氦气定压比热,5200,J/kg/K,流体能量方程,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,Table 2 gives helium Cp=5200 J kg-1 K-1 for the pore-scale and packed-bed calculations.
P389,氦气密度,rho_f=480.19*p_MPa/T_K,kg/m3,随局部温度和绝对压力更新,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,"Table 2 gives rho_f=480.19 p/T. The pressure argument is in MPa and temperature is in K, consistent with the reported 0.12 MPa working condition and helium density scale."
P092,Li4SiO4颗粒导热系数,1.42,W/m/K,颗粒导热方程,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,local_pdf:logs/pdf_text/hccb_formula_pages/page_05.png,Table 2 Li4SiO4 particle thermal conductivity lambda_s used in the HCCB macroscopic transport paper.
P403,Li4SiO4颗粒密度,1526.4,kg/m3,稳态和瞬态固体能量方程,Macroscopic transport characteristics in packed bed with a multi-physics inversion strategy for solid breeding blanket of HCCB TBM,https://doi.org/10.1016/j.applthermaleng.2024.123114,Table 2 reports the Li4SiO4 solid density used by the pore-scale model. It completes the steady conjugate-heat-transfer material contract but does not supply transient solid heat capacity.
P406,EU参考球比热关系,Cp=(-5.33e-7*T_C^2+0.001925*T_C+1.238)*1000,J/kg/K,只用于60组稳态端点；不进入温度阶跃计算,Discrete element method for effective thermal conductivity of packed pebbles accounting for the Smoluchowski effect,https://doi.org/10.1016/j.fusengdes.2018.01.013,"Table 3 gives the temperature-dependent specific heat for the EU reference breeder. It is source-backed but composition-mismatched to the Chinese HCCB Li4SiO4 material. It may populate the mandatory steady OpenFOAM material dictionary, where heat capacity is inactive, but it cannot validate or unlock transient HCCB CHT."
P428,纯Li4SiO4焓增量关系,H_T_minus_H_298_J_mol=-17156+73.694*T_K+0.103210*T_K^2-4163115/T_K,J/mol,定义瞬态固体储热关系,Enthalpy heat capacity second-order transitions and enthalpy of fusion of Li4SiO4 by high-temperature calorimetry,https://doi.org/10.1016/S0040-6031(96)02996-6,The paper reports the smoothed enthalpy relation over 298-1300 K from isothermal drop calorimetry. It supplies the transient pure-compound heat-storage relation; it is not a manufacturing-batch-specific pebble measurement.
P429,纯Li4SiO4比热关系,Cp_molar=73.694+0.206420*T_K+4163115/T_K^2,J/mol/K,温度阶跃OpenFOAM和PINN瞬态储热项,Enthalpy heat capacity second-order transitions and enthalpy of fusion of Li4SiO4 by high-temperature calorimetry,https://doi.org/10.1016/S0040-6031(96)02996-6,This is the analytical derivative of P428 and is valid on the same 298-1300 K smoothed-correlation interval. The reported extrapolated value at 298 K is 182.1 J mol-1 K-1.
P430,纯Li4SiO4摩尔质量换算,Li=6.94;O=15.999;Si=28.085;M_Li4SiO4=119.841,g/mol,把P429从J/mol/K换算为J/kg/K,Abridged Standard Atomic Weights 2024,https://www.ciaaw.org/abridged-atomic-weights.htm,M=4Ar(Li)+Ar(Si)+4Ar(O). The central abridged CIAAW values are used only to convert the molar P429 correlation to J kg-1 K-1. The value represents natural-composition lithium; isotope-enriched material should use its measured or declared molar mass.
P431,纯Li4SiO4二级相变温度,Tc1=938;Tc2=996,K,标出平滑比热关系未解析的相变温区,Enthalpy heat capacity second-order transitions and enthalpy of fusion of Li4SiO4 by high-temperature calorimetry,https://doi.org/10.1016/S0040-6031(96)02996-6,The paper identifies two second-order transitions. P428-P429 are smoothed relations and do not reproduce sharp heat-capacity anomalies at these temperatures; predictions approaching this interval must retain that limitation.
P424,氦气物性表温度范围,300 to 1000,K,保证物性表覆盖300--1000 K,Pore-scale simulation on flow and heat transfer characteristics in packed beds with internal heat sources at low Reynolds numbers,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,Section 1 reports the 300-1000 K blanket temperature context when motivating variable helium properties. This range is used only to cover the numerical property table and is not an inlet-condition value beyond Table 2.
