parameter_id,source_group,local_evidence_paths,evidence_location,evidence_kind,source_url_or_doi,sha256_list,status,notes_cn
P070,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第139--145行：氦气动力黏度关系,open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,温度单位为K
P071,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第139--145行：氦气导热系数关系,open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,温度单位为K且压力参数为MPa
P388,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第139--145行：氦气定压比热5200 J/(kg K),open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,用于流体焓和储热项
P389,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第139--145行：氦气密度关系,open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,压力参数按文献MPa单位解释
P092,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第146--148行：Li4SiO4导热系数1.42 W/(m K),open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,用于颗粒导热方程
P403,CET 2024开放配套论文,literature/raw/thermophysical_sources/Wang_2024_CET_PINN_macroscopic_transport.pdf;logs/pdf_text/Wang_2024_CET_PINN_macroscopic_transport.txt,论文第3页表3及提取文本第146--148行：Li4SiO4密度1526.4 kg/m3,open_companion_article_table_and_text,https://doi.org/10.3303/CET24114068;https://doi.org/10.1016/j.applthermaleng.2024.123114,c0bf787bad8622db608404407b4d4449b1c667d3316856571f5a7ee999d1b10a;03bde885b95b66679c277940a1dd824e3081848b17f45860416a70dc68d42fd9,local_source_archived,用于颗粒稳态导热和瞬态储热项
P406,Moscardini 2018球床等效导热论文,literature/raw/ceramic_breeder_heat_transfer/Moscardini_2018_TDEM_Smoluchowski.pdf;literature/raw/ceramic_breeder_heat_transfer/Moscardini_2018_TDEM_Smoluchowski.txt,论文第5页表3及提取文本第416--425行：EU参考增殖剂比热关系,local_article_pdf_and_text,https://doi.org/10.1016/j.fusengdes.2018.01.013;https://drgan.net/files/pubs/050_FED_2018.pdf,f085c25be16e1342465223e41e97089b57386e6b24718ebb5cb271493d71f589;47faf808cbe763da2155caf098a1faaa50731bfa9224a9ac09aa1cd8d6fa8fae,local_source_archived,仅满足稳态OpenFOAM材料字典；不用于正式热阶跃
P428,Kleykamp 1996纯Li4SiO4高温量热论文及Kleykamp 2000公开量热综述,literature/raw/thermophysical_sources/Kleykamp_1996_Crossref_metadata.json;literature/raw/thermophysical_sources/Kleykamp_2000_High_temperature_calorimetry_review.pdf;literature/raw/thermophysical_sources/Kleykamp_2000_Li4SiO4_enthalpy_Cp_evidence.txt,ScienceDirect公开摘要给出298--1300 K平滑焓关系及全部系数；J-STAGE论文第2页说明焓拟合形式和量热温区并给出独立比热端点,publisher_abstract_with_open_official_review,https://www.sciencedirect.com/science/article/pii/S0040603196029966;https://www.jstage.jst.go.jp/article/jscta1974/27/2/27_2_100/_pdf,85c0180ddc5b99259b547e2f5fb6c00a19b7d5e1953d69a629faf33a85601804;c46cfd490f20128e9e5afede70233a3f3d589da4969b8eeacdf6be14ff9b3d91;19d40d7597adbeffde42548ceac3fd22ba39ddf9e7b079d094d34feace104bf6,open_official_review_and_publisher_abstract_archived,全部焓系数仍取自Kleykamp 1996出版社摘要；2000公开论文独立支持测量方法和端点而不冒充完整系数来源
P429,Kleykamp 1996纯Li4SiO4高温量热论文及Kleykamp 2000公开量热综述,literature/raw/thermophysical_sources/Kleykamp_1996_Crossref_metadata.json;literature/raw/thermophysical_sources/Kleykamp_2000_High_temperature_calorimetry_review.pdf;literature/raw/thermophysical_sources/Kleykamp_2000_Li4SiO4_enthalpy_Cp_evidence.txt,ScienceDirect公开摘要给出焓关系并明确比热由求导得到；J-STAGE论文表1给出298 K时182.1和1100 K时304.2 J/(mol K),publisher_abstract_with_open_official_review,https://www.sciencedirect.com/science/article/pii/S0040603196029966;https://www.jstage.jst.go.jp/article/jscta1974/27/2/27_2_100/_pdf,85c0180ddc5b99259b547e2f5fb6c00a19b7d5e1953d69a629faf33a85601804;c46cfd490f20128e9e5afede70233a3f3d589da4969b8eeacdf6be14ff9b3d91;19d40d7597adbeffde42548ceac3fd22ba39ddf9e7b079d094d34feace104bf6,open_official_review_and_publisher_abstract_archived,P429为P428解析导数；计算得到298 K时182.087和1100 K时304.197并与J-STAGE表1四舍五入一致；平滑关系不用于表示938/996 K相变峰
P430,CIAAW 2024简化标准原子量,literature/raw/thermophysical_sources/CIAAW_abridged_atomic_weights_2024.html,官方网页第95--120行附近：Li=6.94±0.06、O=15.999±0.001、Si=28.085±0.001,official_web_page,https://www.ciaaw.org/abridged-atomic-weights.htm,f9e9554471749c55a624aec55151922470a7f4104c62811eb194fed9731b907d,local_official_page_archived,摩尔质量只用于单位换算；高富集6Li材料应改用实际同位素组成
P431,Kleykamp 1996论文、Kleykamp 2000公开全文、FZKA5515官方量热报告与Asou 1992独立量热研究,literature/raw/thermophysical_sources/Kleykamp_1996_Crossref_metadata.json;literature/raw/thermophysical_sources/Kleykamp_2000_High_temperature_calorimetry_review.pdf;literature/raw/thermophysical_sources/Kleykamp_2000_Li4SiO4_enthalpy_Cp_evidence.txt;literature/raw/thermophysical_sources/FZKA5515_fusion_annual_report_1994_1995.pdf;literature/raw/thermophysical_sources/FZKA5515_Li4SiO4_calorimetry_page115.txt;literature/raw/thermophysical_sources/Asou_1992_Li4SiO4_ScienceDirect_abstract_evidence.txt,ScienceDirect公开摘要给出938 K和996 K；J-STAGE全文第3页/印刷102页给出648--683 °C和713--735 °C两段温区及900/630 J mol^-1额外焓吸收；FZKA5515第115页/印刷107页给出约940.15 K和998.15 K；Asou等独立量热摘要报告约885 K、930 K和985 K热容异常,publisher_abstract_open_fulltext_and_institutional_primary_report_with_independent_trend,https://www.sciencedirect.com/science/article/pii/S0040603196029966;https://www.jstage.jst.go.jp/article/jscta1974/27/2/27_2_100/_pdf;https://publikationen.bibliothek.kit.edu/270037437/4050264;https://www.sciencedirect.com/science/article/pii/S0021961405800679,85c0180ddc5b99259b547e2f5fb6c00a19b7d5e1953d69a629faf33a85601804;c46cfd490f20128e9e5afede70233a3f3d589da4969b8eeacdf6be14ff9b3d91;19d40d7597adbeffde42548ceac3fd22ba39ddf9e7b079d094d34feace104bf6;5158eeaad5173022ada61ff82d040cb87e3af3b50695514d06283a902644ac7b;199274493c853b10d593304034226cbe313ebd14882ece5a559dafb3e1b3da59;4c9c95aa064f873887e7382a9da38b2441c668cd7ba34e3d468c7c66bc6a7340,local_primary_report_and_publisher_abstract_archived,精确938/996 K取自Kleykamp 1996出版社摘要；Kleykamp 2000公开全文补充两段实测温区和积分额外焓吸收但未给唯一解析峰形；FZKA5515支持约940/998 K；Asou独立研究只支持900--1000 K内存在复杂热容异常；平滑焓和比热关系不再现相变峰
P424,IJHMT 2023低雷诺数内热源球床论文,literature/extracted/ijhmt2023_low_re_internal_heat/full_text.txt,第2页对应文本第183--209行：氦冷固态增殖包层温度范围300--1000 K及温变物性必要性,local_article_text,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124325,740a4414f9fa00191d213f1dfcf861e9245e610d26adbd5c9a49c36dde7b3713,local_source_archived,只定义物性表覆盖范围，不增加入口工况
