result_or_section,source_data,program,status,plain_explanation
transient result text,results/hccb_p418_physical_steps_12/model_comparison/summary.json;results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv;results/hccb_p418_physical_steps_12/model_comparison/transient_cost_table.json;manuscript/generated_transient_result_text.tex,code/build_hccb_p418_transient_result_text.py,pending_formal_models,正式模型完成后自动写入三种完整曲线测试、物理约束、扩散修正、三次初值和计算成本的真实数字
transient trajectory-count learning curve,results/hccb_p418_transient_learning_curve/summary.json;results/hccb_p418_transient_learning_curve/learning_curve.csv,code/run_hccb_p418_transient_learning_curve.sh,pending_trajectory_learning_curve,12条完整轨迹已就绪 待按完整轨迹和端点对不拆分的原则比较不同训练轨迹数量下的误差与成本
high-Re independent fixed-flow prediction,results/hccb_p418_high_re_independent_fixed_steps_6/by_sequence;results/hccb_p418_high_re_three_bounded_model_evaluation/comparison/summary.json;results/hccb_p418_high_re_three_bounded_model_evaluation/comparison/aggregate_fixed_model_comparison.csv;manuscript/generated_high_re_comparison.tex,code/evaluate_hccb_p418_frozen_independent_operator.py;code/summarize_hccb_p418_high_re_model_comparison.py,complete_fixed_flow_6_bounded_models_3,六条高速端固定流场三维曲线和区域场不参与训练归一化或模型选择 数据模型 物理约束模型和时空分解模型均以冻结权重完成六条独立预测 全耦合启动因压力越出已登记物性范围而不作精度结论
seed202 OpenFOAM terminal status,results/hccb_p418_cross_packing_seed202_complete_9/seed202_terminal_status.json;results/hccb_p418_cross_packing_seed202_schema3_recovery_20260729.json,code/build_hccb_p418_seed202_complete_status.py,complete_9_of_9,九个独立装填工况均完成第200次稳态非线性迭代并通过有限值以及质量和能量收支检查 旧失败作业不计入正式结果
seed101-seed202 integral response comparison,results/hccb_p418_cross_packing_seed202_integral_9/paired_integral_differences.csv;results/hccb_p418_cross_packing_seed202_integral_9/summary.json,code/compare_hccb_p418_seed202_integral_responses.py,complete_9_common_cases,九个共同工况均采用两套颗粒排列的直接三维共轭传热结果 出口温度和最高颗粒温度变化小而压降对颗粒排列明显敏感 不使用插值或替代结果
seed101-seed202 integral response figure and text,figures/hccb_p418_seed202_integral_9.pdf;figures/hccb_p418_seed202_integral_9.svg;figures/hccb_p418_seed202_integral_9.png;manuscript/generated_cross_packing_integral_9.tex,code/plot_hccb_p418_seed202_integral_partial.py;code/build_hccb_p418_partial_cross_packing_text.py,complete_9_main_text_ready,九个共同工况的出口温度 最高颗粒温度和压降比较及相对变化分布已进入正文 seed303不属于当前论文证据范围
manuscript values,manuscript/generated_results.tex,code/build_hccb_p418_manuscript_values.py,ready,只从JSON结果自动写入已完成数值
final abstract discussion conclusions,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/steady_result_text.json;results/hccb_p418_60_sourceflow_r3_completed_physics/summary.json;results/hccb_p418_60_sourceflow_r3_steady_hotspots/summary.json;results/hccb_p418_physical_steps_12/model_comparison/summary.json;results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv;results/hccb_p418_physical_steps_12/model_comparison/transient_cost_table.json;results/hccb_p418_high_re_three_bounded_model_evaluation/comparison/summary.json;results/hccb_p418_high_re_three_bounded_model_evaluation/comparison/aggregate_fixed_model_comparison.csv;results/hccb_p418_cross_packing_seed202_integral_9/summary.json;results/hccb_p418_scope_limits_20260730/scope_limits_summary.json;manuscript/generated_final_abstract.tex;manuscript/generated_final_discussion.tex;manuscript/generated_final_conclusions.tex,code/build_hccb_p418_final_narrative.py,pending_formal_models,最终结果完成后自动生成摘要 讨论和结论 只写入修正后的60组稳态比较 12条固定流场热阶跃 六条高速端独立预测 seed202九工况和计算适用范围 不把失败的全耦合 大区域网格或seed303写成成功结果
overall method figure,figures/hccb_p418_physical_model_domain.pdf;figures/hccb_p418_physical_model_domain.svg;figures/hccb_p418_physical_model_domain.png,code/plot_hccb_p418_physical_model_domain.py,ready,总图依次表示球形颗粒装填 局部共轭换热域 区域图和稳态PINN初场 图Transformer瞬态以及扩散温度修正
model-setting table,manuscript/generated_model_settings.tex,code/build_hccb_p418_manuscript_model_table.py,ready,从已登记的算法来源和当前数值设置自动生成模型结构训练轮数和选择方法
finite-volume loss scales,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/fv_loss_scales_<split>.json,code/summarize_hccb_p418_fv_loss_scales.py,pending_formal_loss_scales,稳态60工况和面流量已完整 待正式损失汇总按训练工况计算各划分的区域质量与能量流归一化尺度
regional representation fidelity,results/hccb_p418_60_sourceflow_r3_regional_representation_fidelity/summary.json,code/quantify_hccb_p418_regional_representation_fidelity.py,complete_60_conditions,把原始OpenFOAM单元温度与区域平均温度逐个对回并单独报告温度场与热点信息损失
native temperature reconstruction,results/hccb_p418_60_sourceflow_r3_native_reconstruction/summary.json,code/compare_hccb_p418_native_reconstruction.py,complete_60_conditions,比较区域常值未限制线性梯度和无参数单调限制梯度在原始OpenFOAM网格上的温度与热点结果
regional fidelity manuscript text,results/hccb_p418_60_sourceflow_r3_regional_representation_fidelity/summary.json;results/hccb_p418_60_sourceflow_r3_native_reconstruction/summary.json;manuscript/generated_regional_fidelity_formal.tex,code/build_hccb_p418_regional_fidelity_text.py,complete_60_conditions,由60个修正入口流量的OpenFOAM场自动生成区域降维误差和有界原始单元重构正文 旧低流量8工况不写入论文
native-cell model prediction,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/native_cell_model_comparison.json,code/evaluate_hccb_p418_native_cell_prediction.py;code/summarize_hccb_p418_native_cell_predictions.py,complete_5_models_main_split,把五种模型的区域预测还原到原始OpenFOAM单元并分别报告区域化误差模型误差总温度误差最高温度误差和热点偏移
native-cell performance table,results/hccb_p418_60_corrected_20260731_model_comparison_100epoch/native_cell_model_comparison.json;manuscript/generated_native_cell_performance.tex,code/build_hccb_p418_native_cell_model_table.py,complete_5_models_main_split,将五种模型在原始OpenFOAM单元上的流体温度 颗粒温度 最高温度和热点位置误差自动写入正文表格
paired PINN loss construction,results/hccb_p418_mixed_endpoint_smoke_paired_weighted_comparison_1epoch/summary.json,code/train_hccb_p418_conservative_mixed_operator.py,ready,真实8工况确认两种坐标网络初值和共同数据项权重完全相同且物理分支只增加质量与能量收支；一轮结果不用于模型精度
PINN loss-weight sensitivity,results/hccb_p418_steady_loss_weight_sensitivity/summary.json,code/run_hccb_p418_steady_loss_weight_sensitivity.sh,pending_loss_weight_training,稳态60工况已完整 待三组公开PINO配置比例在相同数据、网络初值、优化器和训练轮数下汇总热工与质量能量误差
steady-transient split alignment,results/hccb_p418_chain_split_manifest.csv;results/hccb_p418_chain_split_manifest.json,code/build_hccb_p418_chain_split_manifest.py,ready,逐条记录12条热阶跃及其稳态起点终点在各自训练划分中的身份并分开严格完整串联和一般留出瞬态测试
physical data split table,parameters/hccb_p418_model_splits.json;parameters/hccb_p418_step_response_splits.json;parameters/hccb_p418_transient_step_plan.json;results/hccb_p418_data_split_table/summary.json,code/build_hccb_p418_data_split_table.py,ready,从60个完整稳态工况和12条完整热阶跃曲线的登记文件自动生成论文表格并检查每种划分没有重叠遗漏或时间点混用
fused end-to-end prediction,results/hccb_p418_physical_steps_12/chained_initial_state/*/fused_chain_summary.json;manuscript/generated_fused_chain_results.tex;manuscript/generated_fused_chain_text.tex,code/evaluate_hccb_p418_chained_initial_state.py;code/evaluate_hccb_p418_chained_diffusion.py;code/evaluate_hccb_p418_temporal_energy_balance.py;code/summarize_hccb_p418_fused_chain.py;code/build_hccb_p418_fused_chain_table.py,pending_formal_models,稳态和12条瞬态输入已完整 待正式图Transformer与扩散修正完成后串联稳态初场、瞬态温度和能量方程并按端点是否未见分开报告
formal manuscript PDF,manuscript/generated_results.tex;manuscript/generated_steady_performance.tex;manuscript/generated_steady_result_text.tex;manuscript/generated_transient_performance.tex;manuscript/generated_transient_result_text.tex;manuscript/generated_high_re_comparison.tex;manuscript/generated_cross_packing_integral_9.tex;manuscript/generated_scope_limits.tex;manuscript/generated_final_abstract.tex;manuscript/generated_final_discussion.tex;manuscript/generated_final_conclusions.tex;figures/hccb_p418_physical_model_domain.pdf;figures/hccb_p418_physical_response.pdf;figures/hccb_heat_ai_external_evidence.pdf;figures/hccb_p418_steady_model_comparison.pdf;figures/hccb_p418_transient_model_comparison.pdf;figures/hccb_p418_openfoam_model_field_comparison.pdf;figures/hccb_p418_seed202_integral_9.pdf;manuscript/main.pdf,code/run_hccb_p418_manuscript_refresh.sh,pending_formal_models,60组稳态 12条固定流场热阶跃 六条高速端独立曲线 seed202九工况 外部实验对照和适用范围说明完成后自动更新摘要讨论结论核心图表并编译18至25页正文
final uncertainty and applicability summary,results/hccb_p418_thermal_timestep_sensitivity/thermal_timestep_sensitivity.json;results/hccb_p418_60_steady_seed_robustness_100epoch/summary.json;results/hccb_p418_physical_steps_12/seed_robustness_pair_disjoint_stress_test/summary.json;results/hccb_p418_cross_packing_seed202_integral_9/summary.json;results/hccb_p418_scope_limits_20260730/scope_limits_summary.json;results/hccb_p418_physical_steps_12/model_comparison/physical_step_model_metrics.csv,code/build_hccb_p418_final_narrative.py,pending_formal_models,分别报告固定流场时间步 重复训练 独立装填 扩散预测区间及失败计算限定 不把不同来源的不确定性硬合成一个总分 不虚构三网格GCI或全耦合收敛数值
final figure output quality,figures/hccb_p418_physical_response.pdf;figures/hccb_p418_physical_response.svg;figures/hccb_p418_physical_response.png;figures/hccb_p418_steady_model_comparison.pdf;figures/hccb_p418_transient_model_comparison.pdf;figures/hccb_p418_openfoam_model_field_comparison.pdf;figures/hccb_p418_seed202_integral_9.pdf;results/hccb_p418_final_figure_quality/summary.json,code/check_hccb_p418_final_figure_outputs.py,partial_5_of_7,当前5张正式主图已检查PDF SVG和600 dpi PNG 字体嵌入 可编辑文字 分辨率和子图比例 瞬态模型比较与OpenFOAM温度场对比等正式训练结果后完成
optional supplementary material,parameters/hccb_p418_physical_parameter_sources.csv;parameters/hccb_p418_equation_input_map.csv;parameters/hccb_p418_model_numerical_settings.csv;parameters/hccb_p418_model_splits.json;parameters/hccb_p418_step_response_splits.json;manuscript/result_source_map.csv;manuscript/supplement.tex,code/build_hccb_p418_supplement_inputs.py;code/run_hccb_p418_manuscript_refresh.sh,optional_not_default,正文保持自洽 参数来源和完整复现表主要进入数据代码仓库 只有编辑明确要求时才编译补充材料
IJHMT submission text and format check,manuscript/main.tex;manuscript/main.pdf;results/hccb_p418_ijhmt_submission_check/summary.json,code/check_hccb_p418_ijhmt_submission.py;code/run_hccb_p418_manuscript_refresh.sh,pending_formal_models,检查摘要不超过250词 关键词1至7个 正文篇幅紧凑 作者贡献利益冲突基金和数据说明齐全 并拒绝PDF中残留Draft或待填结果文字
P418 reproducibility package,reproducibility/README.md;reproducibility/README_CN.md;reproducibility/p418_environment.json;requirements-p418.txt;results/hccb_p418_reproducibility_manifest/manifest.json;results/hccb_p418_reproducibility_manifest/manifest.csv,code/build_hccb_p418_reproducibility_manifest.py;scripts/reproduce_p418_paper.sh,ready,单独列出P418论文所需源码 参数 测试 环境和复现命令并计算逐文件SHA-256 默认命令不启动正式OpenFOAM或模型训练
current final-paper requirements,results/hccb_p418_final_scientific_requirements_current/summary.json;results/hccb_p418_final_scientific_requirements_current/P418_最终论文还缺什么_CN.md,code/check_hccb_p418_final_scientific_requirements.py,partial_19_of_30,当前19/30项完成 逐项检查正式三维计算 数值可靠性 模型比较 重复训练 独立预测 实验对照和论文成品 不把运行中作业或预期数值计为完成
parallel transient restart fields,results/hccb_p418_physical_steps_12/regional_sequences/dataset_index.json;results/hccb_p418_physical_steps_12/transition_temperature_coverage/summary.json;PROCESS_LOG_CN.md,code/check_hccb_p418_parallel_time_fields.py,complete_fixed_flow_12_recovered,12条固定流场曲线已使用共同完整时刻恢复并完成0至300秒计算 不使用只有wallHeatFlux的孤立时间目录
fixed-flow 1--1.4 s recovery check,results/hccb_p418_fixed_flow_runtime_recovery_checks/summary.json;PROCESS_LOG_CN.md,code/check_hccb_p418_parallel_time_fields.py,short_recovery_passed_14374,32 MPI从1 s共同完整场恢复到1.4 s 六个核心场和时间文件均32分区齐全 未生成孤立wallHeatFlux目录 正式12条仍需保留冷却壁积分热量的短检查
fixed-flow cooling-wall-power recovery check,results/hccb_p418_fixed_flow_runtime_recovery_checks/summary.json;PROCESS_LOG_CN.md,code/add_hccb_transient_temperature_outputs.py;code/check_hccb_p418_parallel_time_fields.py,short_recovery_with_wall_power_passed_14375,32 MPI恢复到1.4 s时六个核心场和wallHeatFlux均32分区齐全 中间无孤立目录 coolingWallPower覆盖1.00至1.40 s共41行有限值
fixed-flow 1.4--5.0 s restart write-index check,results/hccb_p418_fixed_flow_runtime_recovery_checks/summary.json;PROCESS_LOG_CN.md,code/check_hccb_p418_parallel_time_fields.py;code/run_hccb_p418_step_responses.sh,short_recovery_passed_14377,14377用32分区共同全局时间步编号11840加360步在5.0 s同步写出全部核心场和wallHeatFlux 冷却壁积分历史连续且中间孤立目录为0
fixed-flow formal runtime repair package,cloud_build/p418_fixed_step_runtime_patch_r7_20260729.tar.gz;cloud_build/p418_fixed_step_runtime_patch_r7_20260729/PATCH_MANIFEST.json,code/build_hccb_p418_fixed_step_runtime_patch.py;code/import_hccb_p418_parallel_history.py;code/build_hccb_p418_step_response_cases.py;code/run_hccb_p418_step_responses.sh,used_for_complete_fixed_flow_12,该运行层已用于完成12条300秒固定流场曲线 它按完整场时刻拆分计算阶段并使用共同全局时间步编号 没有改变物理模型或参数
latest porous-media thermal PINN comparison,manuscript/references.bib;manuscript/main.tex;parameters/hccb_p418_ai_architecture_sources.json,code/build_external_algorithm_source_gate.py,ready,DOI 10.1016/j.ijheatmasstransfer.2026.128806；用于限定本文创新性：多孔介质隐藏热场 PINN 和较高雷诺数已有先例，本文必须由三维随机装填内部发热共轭换热、完整留出、独立装填和有限体积守恒结果形成差异
